22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.library.path=C:\Program Files\Java\jdk1.8.0_151\bin;C:\windows\Sun\Java\bin;C:\windows\system32;C:\windows;C:\Program Files\Java\jdk1.8.0_151\jre\bin;C:\ProgramData\Oracle\Java\javapath;C:\windows\system32;C:\windows;C:\windows\System32\Wbem;C:\windows\System32\WindowsPowerShell\v1.0\;D:\Program Files\apache-maven-3.5.2\bin;D:\Program Files\nodejs\;D:\Program Files\Git\cmd;C:\Users\Administrator\AppData\Roaming\npm;C:\Users\Administrator\AppData\Local\GitHubDesktop\bin;.
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=C:\Users\Administrator\AppData\Local\Temp\
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.name=Windows 7
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.arch=amd64
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.version=6.1
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.name=Administrator
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.home=C:\Users\Administrator
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.dir=E:\git\erp\erp-jgsf
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=10.0.0.103:2181 sessionTimeout=30000 watcher=org.I0Itec.zkclient.ZkClient@3fdcde7a
22:24:11.608 [main] INFO  org.I0Itec.zkclient.ZkClient - Waiting for keeper state SyncConnected
22:24:11.623 [main-SendThread(10.0.0.103:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 10.0.0.103/10.0.0.103:2181. Will not attempt to authenticate using SASL (unknown error)
22:24:33.784 [main-SendThread(10.0.0.103:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 10.0.0.103/10.0.0.103:2181. Will not attempt to authenticate using SASL (unknown error)
22:24:55.919 [main-SendThread(10.0.0.103:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 10.0.0.103/10.0.0.103:2181. Will not attempt to authenticate using SASL (unknown error)
22:25:18.075 [main-SendThread(10.0.0.103:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 10.0.0.103/10.0.0.103:2181. Will not attempt to authenticate using SASL (unknown error)
22:25:40.226 [main-SendThread(10.0.0.103:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 10.0.0.103/10.0.0.103:2181. Will not attempt to authenticate using SASL (unknown error)
22:26:02.355 [main-SendThread(10.0.0.103:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 10.0.0.103/10.0.0.103:2181. Will not attempt to authenticate using SASL (unknown error)
22:26:24.456 [main-SendThread(10.0.0.103:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 10.0.0.103/10.0.0.103:2181. Will not attempt to authenticate using SASL (unknown error)
22:35:30.374 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
22:35:30.421 [main] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Tue Dec 26 22:35:30 CST 2017]; root of context hierarchy
22:35:30.452 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [E:\git\erp\erp-jgsf\target\classes\configs\spring-common.xml]
22:35:30.546 [main] INFO  c.a.d.common.logger.LoggerFactory - using logger: com.alibaba.dubbo.common.logger.slf4j.Slf4jLoggerAdapter
22:35:30.577 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [E:\git\erp\erp-jgsf\target\classes\configs\spring-consumer.xml]
22:35:30.608 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [E:\git\erp\erp-jgsf\target\classes\configs\spring-redis.xml]
22:35:30.624 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [E:\git\erp\erp-jgsf\target\classes\configs\spring-shiro.xml]
22:35:30.655 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from file [E:\git\erp\erp-distribute\target\classes\configs\spring-distribute.xml]
22:35:31.338 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'clusterRedisNodes1' of type [org.springframework.data.redis.connection.RedisNode] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22:35:31.353 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor#0' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22:35:31.353 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'clusterRedisNodes2' of type [org.springframework.data.redis.connection.RedisNode] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22:35:31.370 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'clusterRedisNodes3' of type [org.springframework.data.redis.connection.RedisNode] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22:35:31.370 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisClusterConfiguration' of type [org.springframework.data.redis.connection.RedisClusterConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
22:35:31.386 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jedisPoolConfig' of type [redis.clients.jedis.JedisPoolConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
